0.3182877529176034, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.32098155919095994, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.3506294467757288, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.3237505879651406, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.3405159833925311, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.29039292738121253, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.36974509164848757, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0
0.3417309323367864, Z: 5 of [[1, 1], [0, 1]], Spread: 6.0

0.6662928381216227, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.6690240889781073, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.6846589802184453, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.6651933155307983, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.7048313697458138, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.6817490249963889, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.6866606913358938, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0
0.669986703654458, Z: 5 of [[1, 0], [0, 1]], Spread: 6.0

____________________
0.42794925732235223, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.4337210958291615, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.43922099402837295, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.41622650942945877, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.4658157684534634, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.4002205988108598, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.48312278985806945, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0
0.44641407944000616, Z: 12 of [[1, 1], [0, 1]], Spread: 6.0

0.813867517281957, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.8066106231206206, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.8047645546835359, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.80185820711373, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.8002873743925389, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.8085273579716962, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.8057750201029551, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
0.8122025644848068, Z: 12 of [[1, 0], [0, 1]], Spread: 6.0
_____________________
